Week,Day,Deb Lecture du Tableau de nombres,Deb Activité avec bâtonnets et paquet,Deb Lecture de la Table d’addition,Deb Opération de base avec problèmes d'addition,Deb Mind map Addition,Deb Lecture de la Table de soustraction,Deb Opération de base avec problèmes de soustraction,Deb Gymn aux nombres,Deb Saut aux nombres,Deb Exercices d’opérations,Unchiffe Lecture du Tableau de nombres,Unchiffe Activité avec bâtonnets et paquet,Unchiffe Lecture de la Table d’addition,Unchiffe Opération de base avec problèmes d'addition,Unchiffe Mind map Addition,Unchiffe Lecture de la Table de soustraction,Unchiffe Opération de base avec problèmes de soustraction,Unchiffe Gymn aux nombres,Unchiffe Saut aux nombres,Unchiffe Exercices d’opérations,Deuxchiffres Lecture du Tableau de nombres,Deuxchiffres Activité avec bâtonnets et paquet,Deuxchiffres Lecture de la Table d’addition,Deuxchiffres Opération de base avec problèmes d'addition,Deuxchiffres Mind map Addition,Deuxchiffres Lecture de la Table de soustraction,Deuxchiffres Opération de base avec problèmesde soustraction,Deuxchiffres Mind map soustraction,Deuxchiffres Gymn aux nombres,Deuxchiffres Saut aux nombres,Deuxchiffres Tape les mains et claque les doigts,Deuxchiffres Roue des nombres,Deuxchiffres Exercices d’opérations,TroisA Lecture du Tableau de nombres,TroisA Activité avec bâtonnets et paquet,TroisA Lecture de la Table d’addition,TroisA Opération de base avec problèmes d'addition,TroisA Mind map Addition,TroisA Lecture de la Table de soustraction,TroisA Opération de base avec problèmes de soustraction,TroisA Mind map soustraction,TroisA Saut aux nombres,TroisA Roue des nombres,TroisA Exercices d’opérations,TroisB Concept de la Multiplication,TroisB Multiplication par échelle,TroisB Lecture de la Table de multiplication,TroisB Opération de base avec problèmes de multiplication,TroisB Concept de la Division,TroisB Opération de base avec problèmes de Division,TroisB Roue des nombres,TroisB Exercices d'opérations
1,1,1,2,0,0,0,0,0,3,0,4,1,2,0,0,0,0,0,3,0,4,1,2,0,0,0,0,0,0,3,0,0,0,4,1,2,0,0,0,0,0,0,3,0,4,1,2,3,0,0,0,0,4
1,2,1,0,2,3,0,0,0,0,0,4,1,0,2,3,0,0,0,0,0,4,1,0,2,3,0,0,0,0,0,0,0,0,4,1,0,2,3,0,0,0,0,0,0,4,0,0,1,2,0,0,3,4
1,3,1,0,2,3,0,0,0,0,0,4,1,0,2,3,0,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,4,0,2,1,3,0,0,0,4
1,4,1,0,0,2,3,0,0,0,0,4,1,0,0,2,3,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,3,4,0,0,0,1,2,0,0,0,0,3,4,0,0,1,2,0,0,3,4
1,5,1,0,0,0,0,2,3,0,0,4,1,0,0,0,0,2,3,0,0,4,0,0,0,0,0,1,2,0,0,0,3,0,4,0,0,0,0,0,1,2,0,3,0,4,0,0,1,0,2,3,0,4
2,6,1,0,0,0,0,2,3,0,0,4,1,0,0,0,0,2,3,0,0,4,0,0,0,0,0,0,1,2,0,3,0,0,4,0,0,0,0,0,0,1,2,3,0,4,0,0,1,0,0,2,3,4
2,7,1,0,0,0,0,2,3,0,0,4,1,0,0,0,0,2,3,0,0,4,0,0,0,0,0,1,2,3,0,0,0,0,4,0,0,0,0,0,1,2,3,0,0,4,0,0,1,0,0,2,3,4
2,8,1,0,0,0,3,0,2,0,0,4,1,0,0,0,3,0,2,0,0,4,0,0,0,0,3,0,1,2,0,0,3,0,4,0,0,0,0,3,0,1,2,0,3,4,0,2,1,3,0,0,0,4
2,9,0,0,1,2,3,0,0,0,0,4,0,0,1,2,3,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,4,0,0,1,0,2,3,0,4
2,10,0,0,0,0,3,1,2,0,0,4,0,0,0,0,3,1,2,0,0,4,0,0,0,0,0,1,2,3,0,0,0,0,4,0,0,0,0,0,1,2,3,0,0,4,0,0,1,0,2,0,3,4
